physical_data_source,experimental_view,source_dataset_id,benchmark_or_record_id,telemetry_modality,model,label_provenance,independence_status,split_strategy,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,false_positives_mean,false_negatives_mean,training_time_seconds_mean,inference_time_ms_per_sample_mean,test_rows_mean,seeds,performance_claim_scope
Sock-Shop-Dataset-main/new-version metric CSVs,Sock Shop CSV-wide metrics evaluation,Sock Shop new-version,Sock Shop,metrics+injection_metadata,Autoencoder,injection-time metadata from chaos-info CSV files,independent local metrics dataset; logs/traces not available in local CSVs,stratified fallback because chronological test lacked both classes,0.8639020004495391,0.0006118524427428435,0.13450064427800934,0.01733953560548399,0.06952965235173823,0.012439187178523966,0.09163595981224211,0.014810400487661055,0.4925910503526381,0.012625209265286506,653.3333333333334,1365.0,12.782235266660186,0.00015666217163350004,14830.0,"42,123,2026",main CSV-wide claim
Sock-Shop-Dataset-main/new-version metric CSVs,Sock Shop CSV-wide metrics evaluation,Sock Shop new-version,Sock Shop,metrics+injection_metadata,XGBoost,injection-time metadata from chaos-info CSV files,independent local metrics dataset; logs/traces not available in local CSVs,stratified fallback because chronological test lacked both classes,0.5085861991458754,0.0008903260202445093,0.1675173413787084,0.00019379749610960026,0.9995455578277664,0.0007871169314105727,0.2869445580613242,0.0002680555142679507,0.7421871305670038,0.0051893108059504044,7287.0,0.6666666666666666,0.3860548999994838,0.000965596763025672,14830.0,"42,123,2026",main CSV-wide claim
TraceRCA-main/rca_all_dataset.csv,TraceRCA CSV-wide evaluation,TraceRCA rca_all_dataset,TraceRCA,traces+latency+labels,Autoencoder,explicit anomaly column,independent local raw CSV,stratified fallback because chronological test lacked both classes,0.8592543201644718,0.021290172574740987,0.9383719199163926,0.005297989170921395,0.7692222222222221,0.048762842562906576,0.844783562059444,0.028316689038482695,0.9665285465525546,0.0029502698767182294,152.0,692.3333333333334,1.9876052333274856,0.0001693171088032074,5999.0,"42,123,2026",main CSV-wide claim
TraceRCA-main/rca_all_dataset.csv,TraceRCA CSV-wide evaluation,TraceRCA rca_all_dataset,TraceRCA,traces+latency+labels,XGBoost,explicit anomaly column,independent local raw CSV,stratified fallback because chronological test lacked both classes,0.997444018447519,0.00034700216693887907,0.9952442629630215,0.0010078641476863653,0.9996666666666667,0.0003333333333333799,0.9974502637666022,0.0003445645906868414,0.999969693601571,2.265687390476757e-05,14.333333333333334,1.0,0.17337183333196057,0.0008738067445962639,5999.0,"42,123,2026",main CSV-wide claim
train-ticket graph cache,TrainTicket graph-cache evaluation,TrainTicket graph cache,TrainTicket,derived graph-cache trace+log+metric tensors,Autoencoder,graph-cache object label,derived graph cache; not CSV-wide main claim,chronological,0.46239316239316236,0.04300767735182607,0.9382598581041991,0.004843448769856804,0.341991341991342,0.06007224712717714,0.4990773997765841,0.06582161779354663,0.6530857354028085,0.0031760491097220503,7.0,202.66666666666666,0.10132000000642923,0.0024101709594759042,390.0,"42,123,2026",limited/supporting evidence
train-ticket graph cache,TrainTicket graph-cache evaluation,TrainTicket graph cache,TrainTicket,derived graph-cache trace+log+metric tensors,XGBoost,graph-cache object label,derived graph cache; not CSV-wide main claim,chronological,0.8452991452991453,0.006452849944675832,0.9973439153439153,0.0023002915527926267,0.8062770562770561,0.009918995010726961,0.8916592130250766,0.005224081470406478,0.9819448843839087,0.0034435880432624167,0.6666666666666666,59.666666666666664,0.3669907999962258,0.0056449572643281045,390.0,"42,123,2026",limited/supporting evidence
