run_id,evidence_type,source_type,physical_data_source,experimental_view,telemetry_modality,model,seed,tn,fp,fn,tp,accuracy,precision,recall,f1_score,auc_roc,claim_scope,confusion_matrix_notes
rerun_seed_123_tracerca_csv_wide_evaluation_xgboost,own_verified_rerun,independent_csv,GitHub/Zenodo TraceRCA rca_all_dataset.csv,TraceRCA CSV-wide evaluation,traces+latency+labels,XGBoost,123,2988,11.0,2.0,2998,0.997832972162027,0.9963443004320373,0.9993333333333332,0.9978365784656348,0.9999768811826164,main CSV-wide reproducibility evidence,Seed-level corrected rerun confusion matrix.
rerun_seed_123_tracerca_csv_wide_evaluation_autoencoder,own_verified_rerun,independent_csv,GitHub/Zenodo TraceRCA rca_all_dataset.csv,TraceRCA CSV-wide evaluation,traces+latency+labels,Autoencoder,123,2856,143.0,666.0,2334,0.8651441906984497,0.9422688736374648,0.778,0.8522914004016797,0.9691579415360676,main CSV-wide reproducibility evidence,Seed-level corrected rerun confusion matrix.
rerun_seed_2026_tracerca_csv_wide_evaluation_xgboost,own_verified_rerun,independent_csv,GitHub/Zenodo TraceRCA rca_all_dataset.csv,TraceRCA CSV-wide evaluation,traces+latency+labels,XGBoost,2026,2984,15.0,1.0,2999,0.9973328888148024,0.9950232249502322,0.9996666666666668,0.9973395410708348,0.9999443147715904,main CSV-wide reproducibility evidence,Seed-level corrected rerun confusion matrix.
rerun_seed_2026_tracerca_csv_wide_evaluation_autoencoder,own_verified_rerun,independent_csv,GitHub/Zenodo TraceRCA rca_all_dataset.csv,TraceRCA CSV-wide evaluation,traces+latency+labels,Autoencoder,2026,2863,136.0,850.0,2150,0.835639273212202,0.9405074365704288,0.7166666666666667,0.8134695421869088,0.9633380015560742,main CSV-wide reproducibility evidence,Seed-level corrected rerun confusion matrix.
rerun_seed_42_sock_shop_csv_wide_metrics_evaluation_xgboost,own_verified_rerun,metrics_only_csv,GitHub Sock Shop dataset repository (metric CSVs and chaos metadata),Sock Shop CSV-wide metrics evaluation,metrics+injection_metadata,XGBoost,42,6061,7302.0,0.0,1467,0.5076196898179366,0.1672938761546356,1.0,0.2866354044548652,0.738304078129638,metric-only limitation evidence,Seed-level corrected rerun confusion matrix.
rerun_seed_42_sock_shop_csv_wide_metrics_evaluation_autoencoder,own_verified_rerun,metrics_only_csv,GitHub Sock Shop dataset repository (metric CSVs and chaos metadata),Sock Shop CSV-wide metrics evaluation,metrics+injection_metadata,Autoencoder,42,12709,654.0,1374.0,93,0.8632501685772084,0.1244979919678714,0.0633946830265848,0.084010840108401,0.4805618847756992,metric-only limitation evidence,Seed-level corrected rerun confusion matrix.
rerun_seed_123_sock_shop_csv_wide_metrics_evaluation_xgboost,own_verified_rerun,metrics_only_csv,GitHub Sock Shop dataset repository (metric CSVs and chaos metadata),Sock Shop CSV-wide metrics evaluation,metrics+injection_metadata,XGBoost,123,6078,7285.0,0.0,1467,0.5087660148347943,0.1676188299817184,1.0,0.2871122419023388,0.7480809187288344,metric-only limitation evidence,Seed-level corrected rerun confusion matrix.
rerun_seed_123_sock_shop_csv_wide_metrics_evaluation_autoencoder,own_verified_rerun,metrics_only_csv,GitHub Sock Shop dataset repository (metric CSVs and chaos metadata),Sock Shop CSV-wide metrics evaluation,metrics+injection_metadata,Autoencoder,123,12690,673.0,1344.0,123,0.8639919082939986,0.1545226130653266,0.0838445807770961,0.1087052585064074,0.4914732919662747,metric-only limitation evidence,Seed-level corrected rerun confusion matrix.
rerun_seed_2026_sock_shop_csv_wide_metrics_evaluation_xgboost,own_verified_rerun,metrics_only_csv,GitHub Sock Shop dataset repository (metric CSVs and chaos metadata),Sock Shop CSV-wide metrics evaluation,metrics+injection_metadata,XGBoost,2026,6089,7274.0,2.0,1465,0.5093728927848955,0.1676393179997711,0.9986366734832992,0.2870860278267685,0.7401763948425387,metric-only limitation evidence,Seed-level corrected rerun confusion matrix.
rerun_seed_2026_sock_shop_csv_wide_metrics_evaluation_autoencoder,own_verified_rerun,metrics_only_csv,GitHub Sock Shop dataset repository (metric CSVs and chaos metadata),Sock Shop CSV-wide metrics evaluation,metrics+injection_metadata,Autoencoder,2026,12730,633.0,1377.0,90,0.8644639244774106,0.1244813278008298,0.0613496932515337,0.0821917808219178,0.5057379743159405,metric-only limitation evidence,Seed-level corrected rerun confusion matrix.
rerun_seed_42_trainticket_graph_cache_evaluation_xgboost,own_verified_rerun,graph_cache,GitHub TrainTicket derived graph-cache artifacts,TrainTicket graph-cache evaluation,derived graph-cache trace+log+metric tensors,XGBoost,42,81,1.0,59.0,249,0.8461538461538461,0.996,0.8084415584415584,0.8924731182795699,0.9802819132087424,limited graph-cache evidence,Seed-level corrected rerun confusion matrix.
rerun_seed_42_trainticket_graph_cache_evaluation_autoencoder,own_verified_rerun,graph_cache,GitHub TrainTicket derived graph-cache artifacts,TrainTicket graph-cache evaluation,derived graph-cache trace+log+metric tensors,Autoencoder,42,74,8.0,191.0,117,0.4897435897435897,0.936,0.3798701298701298,0.5404157043879908,0.6567152359835285,limited graph-cache evidence,Seed-level corrected rerun confusion matrix.
rerun_seed_123_trainticket_graph_cache_evaluation_xgboost,own_verified_rerun,graph_cache,GitHub TrainTicket derived graph-cache artifacts,TrainTicket graph-cache evaluation,derived graph-cache trace+log+metric tensors,XGBoost,123,82,0.0,63.0,245,0.8384615384615385,1.0,0.7954545454545454,0.8860759493670886,0.9859043395628762,limited graph-cache evidence,Seed-level corrected rerun confusion matrix.
rerun_seed_123_trainticket_graph_cache_evaluation_autoencoder,own_verified_rerun,graph_cache,GitHub TrainTicket derived graph-cache artifacts,TrainTicket graph-cache evaluation,derived graph-cache trace+log+metric tensors,Autoencoder,123,77,5.0,224.0,84,0.4128205128205128,0.9438202247191012,0.2727272727272727,0.4231738035264483,0.6517263224580297,limited graph-cache evidence,Seed-level corrected rerun confusion matrix.
rerun_seed_2026_trainticket_graph_cache_evaluation_xgboost,own_verified_rerun,graph_cache,GitHub TrainTicket derived graph-cache artifacts,TrainTicket graph-cache evaluation,derived graph-cache trace+log+metric tensors,XGBoost,2026,81,1.0,57.0,251,0.8512820512820513,0.996031746031746,0.814935064935065,0.8964285714285715,0.9796484003801076,limited graph-cache evidence,Seed-level corrected rerun confusion matrix.
rerun_seed_2026_trainticket_graph_cache_evaluation_autoencoder,own_verified_rerun,graph_cache,GitHub TrainTicket derived graph-cache artifacts,TrainTicket graph-cache evaluation,derived graph-cache trace+log+metric tensors,Autoencoder,2026,74,8.0,193.0,115,0.4846153846153846,0.934959349593496,0.3733766233766233,0.5336426914153132,0.6508156477668673,limited graph-cache evidence,Seed-level corrected rerun confusion matrix.
