view_id,model,seed,feature,importance_mean,importance_std
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,latency_mean,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,latency_max,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,latency_p95_proxy,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,latency_p99_proxy,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,span_duration_mean,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,failed_span_ratio,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,trace_depth_proxy,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,fanout_proxy,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,log_error_indicator,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,log_template_frequency_proxy,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,log_entropy_proxy,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,service_metric_entropy,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,rolling_latency_mean,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,rolling_latency_std,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,ewma_latency,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,rolling_zscore_latency,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,latency_threshold_p95,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,123,latency_threshold_exceeded,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,input_numeric_column_count,0.017652521445092845,0.0035452387074361947
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,request_rate,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,error_rate,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,cpu_mean,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,cpu_max,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,memory_mean,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,memory_max,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,network_or_size_mean,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,latency_mean,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,latency_max,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,latency_p95_proxy,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,latency_p99_proxy,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,span_duration_mean,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,failed_span_ratio,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,trace_depth_proxy,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,fanout_proxy,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,log_error_indicator,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,log_template_frequency_proxy,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,log_entropy_proxy,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,service_metric_entropy,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,rolling_latency_mean,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,rolling_latency_std,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,ewma_latency,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,rolling_zscore_latency,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,latency_threshold_p95,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,RandomForest,123,latency_threshold_exceeded,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,2026,input_numeric_column_count,0.3729166666666666,0.007414637675021718
rcaeval_recursive_service_fault_csv_windows,XGBoost,2026,request_rate,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,2026,error_rate,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,2026,cpu_mean,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,2026,cpu_max,0.0,0.0
rcaeval_recursive_service_fault_csv_windows,XGBoost,2026,memory_mean,0.0,0.0
