experimental_view,model,f1_mean_cpu,auc_roc_mean_cpu,precision_mean_cpu,recall_mean_cpu,training_time_seconds_mean_cpu,f1_mean_cuda,auc_roc_mean_cuda,precision_mean_cuda,recall_mean_cuda,training_time_seconds_mean_cuda,f1_mean_delta,auc_roc_mean_delta,precision_mean_delta,recall_mean_delta,training_time_seconds_mean_delta,training_time_speedup_cpu_over_cuda
Sock Shop scenario-aware metrics evaluation,XGBoost,0.3713190054174924,0.4999625005860081,0.2298628109710969,0.966725624585452,2.039029579999624,0.3713228406673776,0.5000832518370881,0.2297951522446319,0.9678974132213132,1.2894993200025056,3.8352498851756955e-06,0.00012075125108002016,-6.765872646499749e-05,0.001171788635861204,-0.7495302599971185,1.581256809034736
TrainTicket graph-cache derived multimodal tensors,XGBoost,1.0,1.0,1.0,1.0,0.0914903399912873,0.9998699609882966,1.0,0.9997402597402598,1.0,0.2599537400092231,-0.00013003901170338672,0.0,-0.0002597402597401821,0.0,0.1684634000179358,0.3519485427985812
TraceRCA-main rca_all_dataset explicit-label CSV,XGBoost,0.996746031051015,0.9999965181802042,0.9999948496085702,0.9935183288961704,1.9495416200021285,0.9967151836149012,0.999995266690034,0.9999793867538836,0.9934722506655744,1.093956810000236,-3.084743611381224e-05,-1.2514901701621284e-06,-1.5462854686565386e-05,-4.60782305959917e-05,-0.8555848100018926,1.7821010867894391
TraceRCA all dataset recursive service-fault CSV windows,XGBoost,0.999791449426486,1.0,1.0,0.9995833333333334,0.1269056099990848,0.999895724713243,1.0,1.0,0.9997916666666666,0.2544570399972145,0.00010427528675693853,0.0,0.0,0.00020833333333325488,0.12755142999812968,0.4987309842182948
RCAEval recursive service-fault CSV windows,XGBoost,0.9992685464041786,1.0,1.0,0.9985416666666664,0.2005435999948531,1.0,1.0,1.0,1.0,0.2104079499957151,0.0007314535958213852,0.0,0.0,0.0014583333333335613,0.009864350000861999,0.9531179786644807
